model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
model,split,method,seed,forget_leakage,retain_accuracy,response_quality,forget_rq,retain_rq,n_forget,n_retain
Llama-2-7b-chat,copyright,FT,0,1.5,1.802,1.185,1.338,1.132,74,212
Llama-2-7b-chat,privacy,FT,0,1.818,1.704,1.908,1.864,1.954,110,108
Llama-2-7b-chat,copyright,GradAscent,42,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GradAscent,42,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,GradAscent,123,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GradAscent,123,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,GradAscent,456,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GradAscent,456,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,GradAscent,789,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GradAscent,789,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,GradAscent,1024,0.0,0.0,0.0,0.0,0.0,74,212
Llama-2-7b-chat,privacy,GradAscent,1024,0.0,0.0,0.0,0.0,0.0,110,108
Llama-2-7b-chat,copyright,GradDiff,42,0.0,0.759,0.332,0.0,0.448,74,212
Llama-2-7b-chat,privacy,GradDiff,42,0.064,0.833,0.725,0.073,1.389,110,108
Llama-2-7b-chat,copyright,GradDiff,123,0.0,0.736,0.364,0.0,0.491,74,212
Llama-2-7b-chat,privacy,GradDiff,123,0.055,1.028,0.592,0.036,1.157,110,108
Llama-2-7b-chat,copyright,GradDiff,456,0.0,0.726,0.385,0.0,0.519,74,212
Llama-2-7b-chat,privacy,GradDiff,456,0.055,0.991,0.716,0.036,1.407,110,108
Llama-2-7b-chat,copyright,GradDiff,789,0.0,0.925,0.427,0.0,0.575,74,212
Llama-2-7b-chat,privacy,GradDiff,789,0.009,0.889,0.592,0.018,1.176,110,108
